OO=BGI*
Refined by: PUBLICATION YEARS=( 2017 )
Timespan=1900-2018. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Metagenomic analysis of faecal microbiome as a tool towards targeted non-invasive biomarkers for colorectal cancer","Yu, Jun; Feng, Qiang; Wong, Sunny Hei; Zhang, Dongya; Liang, Qiao Yi; Qin, Youwen; Tang, Longqing; Zhao, Hui; Stenvang, Jan; Li, Yanli; Wang, Xiaokai; Xu, Xiaoqiang; Chen, Ning; Wu, William Ka Kei; Al-Aama, Jumana; Nielsen, Hans Jorgen; Kiilerich, Pia; Jensen, Benjamin Anderschou Holbech; Yau, Tung On; Lan, Zhou; Jia, Huijue; Li, Junhua; Xiao, Liang; Lam, Thomas Yuen Tung; Ng, Siew Chien; Cheng, Alfred Sze-Lok; Wong, Vincent Wai-Sun; Chan, Francis Ka Leung; Xu, Xun; Yang, Huanming; Madsen, Lise; Datz, Christian; Tilg, Herbert; Wang, Jian; Brunner, Nils; Kristiansen, Karsten; Arumugam, Manimozhiyan; Sung, Joseph Jao-Yiu; Wang, Jun","","","","GUT","JAN 2017","2017","66","1","","","","70","+","","10.1136/gutjnl-2015-309800                                                      ","","","45","22.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","27","1"
"Correction of a pathogenic gene mutation in human embryos","Ma, Hong; Marti-Gutierrez, Nuria; Park, Sang-Wook; Wu, Jun; Lee, Yeonmi; Suzuki, Keiichiro; Koski, Amy; Ji, Dongmei; Hayama, Tomonari; Ahmed, Riffat; Darby, Hayley; Van Dyken, Crystal; Li, Ying; Kang, Eunju; Park, A. -Reum; Kim, Daesik; Kim, Sang-Tae; Gong, Jianhui; Gu, Ying; Xu, Xun; Battaglia, David; Krieg, Sacha A.; Lee, David M.; Wu, Diana H.; Wolf, Don P.; Heitner, Stephen B.; Belmonte, Juan Carlos Izpisua; Mato, Paula A.; Kim, Jin-Soo; Kaul, Sanjiv; Mitalipov, Shoukhrat","","","","NATURE","AUG 24 2017","2017","548","7668","","","","413","+","","10.1038/nature23305","","","29","14.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","1"
"A chromosome conformation capture ordered sequence of the barley genome","Mascher, Martin; Gundlach, Heidrun; Himmelbach, Axel; Beier, Sebastian; Twardziok, Sven O.; Wicker, Thomas; Radchuk, Volodymyr; Dockter, Christoph; Hedley, Pete E.; Russell, Joanne; Bayer, Micha; Ramsay, Luke; Liu, Hui; Haberer, Georg; Zhang, Xiao-Qi; Zhang, Qisen; Barrero, Roberto A.; Li, Lin; Taudien, Stefan; Groth, Marco; Felder, Marius; Hastie, Alex; Simkova, Hana; Stankova, Helena; Vrana, Jan; Chan, Saki; Munoz-Amatrian, Mara; Ounit, Rachid; Wanamaker, Steve; Bolser, Daniel; Colmsee, Christian; Schmutzer, Thomas; Aliyeva-Schnorr, Lala; Grasso, Stefano; Tanskanen, Jaakko; Chailyan, Anna; Sampath, Dharanya; Heavens, Darren; Clissold, Leah; Cao, Sujie; Chapman, Brett; Dai, Fei; Han, Yong; Li, Hua; Li, Xuan; Lin, Chongyun; McCooke, John K.; Tan, Cong; Wang, Penghao; Wang, Songbo; Yin, Shuya; Zhou, Gaofeng; Poland, Jesse A.; Bellgard, Matthew I.; Borisjuk, Ljudmilla; Houben, Andreas; Dolezel, Jaroslav; Ayling, Sarah; Lonardi, Stefano; Kersey, Paul; Lagridge, Peter; Muehlbauer, Gary J.; Clark, Matthew D.; Caccamo, Mario; Schulman, Alan H.; Mayer, Klaus F. X.; Platzer, Matthias; Close, Timothy J.; Scholz, Uwe; Hansson, Mats; Zhang, Guoping; Braumann, Ilka; Spannagl, Manuel; Li, Chengdao; Waugh, Robbie; Stein, Nils","","","","NATURE","APR 27 2017","2017","544","7651","","","","426","+","","10.1038/nature22043","","","28","14.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0"
"Deep functional analysis of synII, a 770-kilobase synthetic yeast chromosome","Shen, Yue; Wang, Yun; Chen, Tai; Gao, Feng; Gong, Jianhui; Abramczyk, Dariusz; Walker, Roy; Zhao, Hongcui; Chen, Shihong; Liu, Wei; Luo, Yisha; Mueller, Carolin A.; Paul-Dubois-Taine, Adrien; Alver, Bonnie; Stracquadanio, Giovanni; Mitchell, Leslie A.; Luo, Zhouqing; Fan, Yanqun; Zhou, Baojin; Wen, Bo; Tan, Fengji; Wang, Yujia; Zi, Jin; Xie, Zexiong; Li, Bingzhi; Yang, Kun; Richardson, Sarah M.; Jiang, Hui; French, Christopher E.; Nieduszynski, Conrad A.; Koszul, Romain; Marston, Adele L.; Yuan, Yingjin; Wang, Jian; Bader, Joel S.; Dai, Junbiao; Boeke, Jef D.; Xu, Xun; Cai, Yizhi; Yang, Huanming","","","","SCIENCE","MAR 10 2017","2017","355","6329","","","SI","","","eaaf4791","10.1126/science.aaf4791","","","20","10.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0"
"Evolutionary History of the Hymenoptera","Peters, Ralph S.; Krogmann, Lars; Mayer, Christoph; Donath, Alexander; Gunkel, Simon; Meusemann, Karen; Kozlov, Alexey; Podsiadlowski, Lars; Petersen, Malte; Lanfear, Robert; Diez, Patricia A.; Heraty, John; Kjer, Karl M.; Klopfstein, Seraina; Meier, Rudolf; Polidori, Carlo; Schmitt, Thomas; Liu, Shanlin; Zhou, Xin; Wappler, Torsten; Rust, Jes; Misof, Bernhard; Niehuis, Oliver","","","","CURRENT BIOLOGY","APR 3 2017","2017","27","7","","","","1013","1018","","10.1016/j.cub.2017.01.027","","","18","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0"
""Perfect" designer chromosome V and behavior of a ring derivative","Xie, Ze-Xiong; Li, Bing-Zhi; Mitchell, Leslie A.; Wu, Yi; Qi, Xin; Jin, Zhu; Jia, Bin; Wang, Xia; Zeng, Bo-Xuan; Liu, Hui-Min; Wu, Xiao-Le; Feng, Qi; Zhang, Wen-Zheng; Liu, Wei; Ding, Ming-Zhu; Li, Xia; Zhao, Guang-Rong; Qiao, Jian-Jun; Cheng, Jing-Sheng; Zhao, Meng; Kuang, Zheng; Wang, Xuya; Martin, J. Andrew; Stracquadanio, Giovanni; Yang, Kun; Bai, Xue; Zhao, Juan; Hu, Meng-Long; Lin, Qiu-Hui; Zhang, Wen-Qian; Shen, Ming-Hua; Chen, Si; Su, Wan; Wang, En-Xu; Guo, Rui; Zhai, Fang; Guo, Xue-Jiao; Du, Hao-Xing; Zhu, Jia-Qing; Song, Tian-Qing; Dai, Jun-Jun; Li, Fei-Fei; Jiang, Guo-Zhen; Han, Shi-Lei; Liu, Shi-Yang; Yu, Zhi-Chao; Yang, Xiao-Na; Chen, Ken; Hu, Cheng; Li, Da-Shuai; Jia, Nan; Liu, Yue; Wang, Lin-Ting; Wang, Su; Wei, Xiao-Tong; Fu, Mei-Qing; Qu, Lan-Meng; Xin, Si-Yu; Liu, Ting; Tian, Kai-Ren; Li, Xue-Nan; Zhang, Jin-Hua; Song, Li-Xiang; Liu, Jin-Gui; Lv, Jia-Fei; Xu, Hang; Tao, Ran; Wang, Yan; Zhang, Ting-Ting; Deng, Ye-Xuan; Wang, Yi-Ran; Li, Ting; Ye, Guang-Xin; Xu, Xiao-Ran; Xia, Zheng-Bao; Zhang, Wei; Yang, Shi-Lan; Liu, Yi-Lin; Ding, Wen-Qi; Liu, Zhen-Ning; Zhu, Jun-Qi; Liu, Ning-Zhi; Walker, Roy; Luo, Yisha; Wang, Yun; Shen, Yue; Yang, Huanming; Cai, Yizhi; Ma, Ping-Sheng; Zhang, Chun-Ting; Bader, Joel S.; Boeke, Jef D.; Yuan, Ying-Jin","","","","SCIENCE","MAR 10 2017","2017","355","6329","","","SI","","","eaaf4704","10.1126/science.aaf4704","","","17","8.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0"
"Bug mapping and fitness testing of chemically synthesized chromosome X","Wu, Yi; Li, Bing-Zhi; Zhao, Meng; Mitchell, Leslie A.; Xie, Ze-Xiong; Lin, Qiu-Hui; Wang, Xia; Xiao, Wen-Hai; Wang, Ying; Zhou, Xiao; Liu, Hong; Li, Xia; Ding, Ming-Zhu; Liu, Duo; Zhang, Lu; Liu, Bao-Li; Wu, Xiao-Le; Li, Fei-Fei; Dong, Xiu-Tao; Jia, Bin; Zhang, Wen-Zheng; Jiang, Guo-Zhen; Liu, Yue; Bai, Xue; Song, Tian-Qing; Chen, Yan; Zhou, Si-Jie; Zhu, Rui-Ying; Gao, Feng; Kuang, Zheng; Wang, Xuya; Shen, Michael; Yang, Kun; Stracquadanio, Giovanni; Richardson, Sarah M.; Lin, Yicong; Wang, Lihui; Walker, Roy; Luo, Yisha; Ma, Ping-Sheng; Yang, Huanming; Cai, Yizhi; Dai, Junbiao; Bader, Joel S.; Boeke, Jef D.; Yuan, Ying-Jin","","","","SCIENCE","MAR 10 2017","2017","355","6329","","","SI","","","aaf4706","10.1126/science.aaf4706","","","16","8.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0"
"Engineering the ribosomal DNA in a megabase synthetic chromosome","Zhang, Weimin; Zhao, Guanghou; Luo, Zhouqing; Lin, Yicong; Wang, Lihui; Guo, Yakun; Wang, Ann; Jiang, Shuangying; Jiang, Qingwen; Gong, Jianhui; Wang, Yun; Hou, Sha; Huang, Jing; Li, Tianyi; Qin, Yiran; Dong, Junkai; Qin, Qin; Zhang, Jiaying; Zou, Xinzhi; He, Xi; Zhao, Li; Xiao, Yibo; Xu, Meng; Cheng, Erchao; Huang, Ning; Zhou, Tong; Shen, Yue; Walker, Roy; Luo, Yisha; Kuang, Zheng; Mitchell, Leslie A.; Yang, Kun; Richardson, Sarah M.; Wu, Yi; Li, Bing-Zhi; Yuan, Ying-Jin; Yang, Huanming; Lin, Jiwei; Chen, Guo-Qiang; Wu, Qingyu; Bader, Joel S.; Cai, Yizhi; Boeke, Jef D.; Dai, Junbiao","","","","SCIENCE","MAR 10 2017","2017","355","6329","","","SI","","","eaaf3981","10.1126/science.aaf3981","","","13","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0"
"The genome and transcriptome of Japanese flounder provide insights into flatfish asymmetry","Shao, Changwei; Bao, Baolong; Xie, Zhiyuan; Chen, Xinye; Li, Bo; Jia, Xiaodong; Yao, Qiulin; Orti, Guillermo; Li, Wenhui; Li, Xihong; Hamre, Kristin; Xu, Juan; Wang, Lei; Chen, Fangyuan; Tian, Yongsheng; Schreiber, Alex M.; Wang, Na; Wei, Fen; Zhang, Jilin; Dong, Zhongdian; Gao, Lei; Gai, Junwei; Sakamoto, Takashi; Mo, Sudong; Chen, Wenjun; Shi, Qiong; Li, Hui; Xiu, Yunji; Li, Yangzhen; Xu, Wenteng; Shi, Zhiyi; Zhang, Guojie; Power, Deborah M.; Wang, Qingyin; Schartl, Manfred; Chen, Songlin","","","","NATURE GENETICS","JAN 2017","2017","49","1","","","","119","124","","10.1038/ng.3732","","","13","6.50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","1"
"3D organization of synthetic and scrambled chromosomes","Mercy, Guillaume; Mozziconacci, Julien; Scolari, Vittore F.; Yang, Kun; Zhao, Guanghou; Thierry, Agnes; Luo, Yisha; Mitchell, Leslie A.; Shen, Michael; Shen, Yue; Walker, Roy; Zhang, Weimin; Wu, Yi; Xie, Ze-Xiong; Luo, Zhouqing; Cai, Yizhi; Dai, Junbiao; Yang, Huanming; Yuan, Ying-Jin; Boeke, Jef D.; Bader, Joel S.; Muller, Heloise; Koszul, Romain","","","","SCIENCE","MAR 10 2017","2017","355","6329","","","SI","","","eaaf4597","10.1126/science.aaf4597","","","12","6.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0"
