OO=BGI*
Refined by: PUBLICATION YEARS=( 2014 )
Timespan=1900-2018. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Phylogenomics resolves the timing and pattern of insect evolution","Misof, Bernhard; Liu, Shanlin; Meusemann, Karen; Peters, Ralph S.; Donath, Alexander; Mayer, Christoph; Frandsen, Paul B.; Ware, Jessica; Flouri, Tomas; Beutel, Rolf G.; Niehuis, Oliver; Petersen, Malte; Izquierdo-Carrasco, Fernando; Wappler, Torsten; Rust, Jes; Aberer, Andre J.; Aspoeck, Ulrike; Aspoeck, Horst; Bartel, Daniela; Blanke, Alexander; Berger, Simon; Boehm, Alexander; Buckley, Thomas R.; Calcott, Brett; Chen, Junqing; Friedrich, Frank; Fukui, Makiko; Fujita, Mari; Greve, Carola; Grobe, Peter; Gu, Shengchang; Huang, Ying; Jermiin, Lars S.; Kawahara, Akito Y.; Krogmann, Lars; Kubiak, Martin; Lanfear, Robert; Letsch, Harald; Li, Yiyuan; Li, Zhenyu; Li, Jiguang; Lu, Haorong; Machida, Ryuichiro; Mashimo, Yuta; Kapli, Pashalia; McKenna, Duane D.; Meng, Guanliang; Nakagaki, Yasutaka; Luis Navarrete-Heredia, Jose; Ott, Michael; Ou, Yanxiang; Pass, Guenther; Podsiadlowski, Lars; Pohl, Hans; von Reumont, Bjoern M.; Schuette, Kai; Sekiya, Kaoru; Shimizu, Shota; Slipinski, Adam; Stamatakis, Alexandros; Song, Wenhui; Su, Xu; Szucsich, Nikolaus U.; Tan, Meihua; Tan, Xuemei; Tang, Min; Tang, Jingbo; Timelthaler, Gerald; Tomizuka, Shigekazu; Trautwein, Michelle; Tong, Xiaoli; Uchifune, Toshiki; Walzl, Manfred G.; Wiegmann, Brian M.; Wilbrandt, Jeanne; Wipfler, Benjamin; Wong, Thomas K. F.; Wu, Qiong; Wu, Gengxiong; Xie, Yinlong; Yang, Shenzhou; Yang, Qing; Yeates, David K.; Yoshizawa, Kazunori; Zhang, Qing; Zhang, Rui; Zhang, Wenwei; Zhang, Yunhui; Zhao, Jing; Zhou, Chengran; Zhou, Lili; Ziesmann, Tanja; Zou, Shijie; Li, Yingrui; Xu, Xun; Zhang, Yong; Yang, Huanming; Wang, Jian; Wang, Jun; Kjer, Karl M.; Zhou, Xin","","","","SCIENCE","NOV 7 2014","2014","346","6210","","","","763","767","","10.1126/science.1257570","","","505","101.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","104","230","170","1"
"Whole-genome analyses resolve early branches in the tree of life of modern birds","Jarvis, Erich D.; Mirarab, Siavash; Aberer, Andre J.; Li, Bo; Houde, Peter; Li, Cai; Ho, Simon Y. W.; Faircloth, Brant C.; Nabholz, Benoit; Howard, Jason T.; Suh, Alexander; Weber, Claudia C.; da Fonseca, Rute R.; Li, Jianwen; Zhang, Fang; Li, Hui; Zhou, Long; Narula, Nitish; Liu, Liang; Ganapathy, Ganesh; Boussau, Bastien; Bayzid, Md. Shamsuzzoha; Zavidovych, Volodymyr; Subramanian, Sankar; Gabaldon, Toni; Capella-Gutierrez, Salvador; Huerta-Cepas, Jaime; Rekepalli, Bhanu; Munch, Kasper; Schierup, Mikkel; Lindow, Bent; Warren, Wesley C.; Ray, David; Green, Richard E.; Bruford, Michael W.; Zhan, Xiangjiang; Dixon, Andrew; Li, Shengbin; Li, Ning; Huang, Yinhua; Derryberry, Elizabeth P.; Bertelsen, Mads Frost; Sheldon, Frederick H.; Brumfield, Robb T.; Mello, Claudio V.; Lovell, Peter V.; Wirthlin, Morgan; Cruz Schneider, Maria Paula; Prosdocimi, Francisco; Samaniego, Jose Alfredo; Vargas Velazquez, Amhed Missael; Alfaro-Nunez, Alonzo; Campos, Paula F.; Petersen, Bent; Sicheritz-Ponten, Thomas; Pas, An; Bailey, Tom; Scofield, Paul; Bunce, Michael; Lambert, David M.; Zhou, Qi; Perelman, Polina; Driskell, Amy C.; Shapiro, Beth; Xiong, Zijun; Zeng, Yongli; Liu, Shiping; Li, Zhenyu; Liu, Binghang; Wu, Kui; Xiao, Jin; Yinqi, Xiong; Zheng, Qiuemei; Zhang, Yong; Yang, Huanming; Wang, Jian; Smeds, Linnea; Rheindt, Frank E.; Braun, Michael; Fjeldsa, Jon; Orlando, Ludovic; Barker, F. Keith; Jonsson, Knud Andreas; Johnson, Warren; Koepfli, Klaus-Peter; O'Brien, Stephen; Haussler, David; Ryder, Oliver A.; Rahbek, Carsten; Willerslev, Eske; Graves, Gary R.; Glenn, Travis C.; McCormack, John; Burt, Dave; Ellegren, Hans; Alstrom, Per; Edwards, Scott V.; Stamatakis, Alexandros; Mindell, David P.; Cracraft, Joel; Braun, Edward L.; Warnow, Tandy; Jun, Wang; Gilbert, M. Thomas P.; Zhang, Guojie","","","","SCIENCE","DEC 12 2014","2014","346","6215","","","","1320","1331","","10.1126/science.1253451","","","410","82.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","117","148","130","1"
"Identification of genomic alterations in oesophageal squamous cell cancer","Song, Yongmei; Li, Lin; Ou, Yunwei; Gao, Zhibo; Li, Enmin; Li, Xiangchun; Zhang, Weimin; Wang, Jiaqian; Xu, Liyan; Zhou, Yong; Ma, Xiaojuan; Liu, Lingyan; Zhao, Zitong; Huang, Xuanlin; Fan, Jing; Dong, Lijia; Chen, Gang; Ma, Liying; Yang, Jie; Chen, Longyun; He, Minghui; Li, Miao; Zhuang, Xuehan; Huang, Kai; Qiu, Kunlong; Yin, Guangliang; Guo, Guangwu; Feng, Qiang; Chen, Peishan; Wu, Zhiyong; Wu, Jianyi; Ma, Ling; Zhao, Jinyang; Luo, Longhai; Fu, Ming; Xu, Bainan; Chen, Bo; Li, Yingrui; Tong, Tong; Wang, Mingrong; Liu, Zhihua; Lin, Dongxin; Zhang, Xiuqing; Yang, Huanming; Wang, Jun; Zhan, Qimin","","","","NATURE","MAY 1 2014","2014","509","7498","","","","91","+","","10.1038/nature13176","","","263","52.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","68","85","97","1"
"Genome sequence of the cultivated cotton Gossypium arboreum","Li, Fuguang; Fan, Guangyi; Wang, Kunbo; Sun, Fengming; Yuan, Youlu; Song, Guoli; Li, Qin; Ma, Zhiying; Lu, Cairui; Zou, Changsong; Chen, Wenbin; Liang, Xinming; Shang, Haihong; Liu, Weiqing; Shi, Chengcheng; Xiao, Guanghui; Gou, Caiyun; Ye, Wuwei; Xu, Xun; Zhang, Xueyan; Wei, Hengling; Li, Zhifang; Zhang, Guiyin; Wang, Junyi; Liu, Kun; Kohel, Russell J.; Percy, Richard G.; Yu, John Z.; Zhu, Yu-Xian; Wang, Jun; Yu, Shuxun","","","","NATURE GENETICS","JUN 2014","2014","46","6","","","","567","572","","10.1038/ng.2987","","","246","49.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","65","91","80","1"
"Phylotranscriptomic analysis of the origin and early diversification of land plants","Wickett, Norman J.; Mirarab, Siavash; Nam Nguyen; Warnow, Tandy; Carpenter, Eric; Matasci, Naim; Ayyampalayam, Saravanaraj; Barker, Michael S.; Burleigh, J. Gordon; Gitzendanner, Matthew A.; Ruhfel, Brad R.; Wafula, Eric; Der, Joshua P.; Graham, Sean W.; Mathews, Sarah; Melkonian, Michael; Soltis, Douglas E.; Soltis, Pamela S.; Miles, Nicholas W.; Rothfels, Carl J.; Pokorny, Lisa; Shaw, A. Jonathan; DeGironimo, Lisa; Stevenson, Dennis W.; Surek, Barbara; Villarreal, Juan Carlos; Roure, Beatrice; Philippe, Herve; dePamphilis, Claude W.; Chen, Tao; Deyholos, Michael K.; Baucom, Regina S.; Kutchan, Toni M.; Augustin, Megan M.; Wang, Jun; Zhang, Yong; Tian, Zhijian; Yan, Zhixiang; Wu, Xiaolei; Sun, Xiao; Wong, Gane Ka-Shu; Leebens-Mack, James","","","","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","NOV 11 2014","2014","111","45","","","","E4859","E4868","","10.1073/pnas.1323926111","","","245","49.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65","91","89","0"
"An integrated catalog of reference genes in the human gut microbiome","Li, Junhua; Jia, Huijue; Cai, Xianghang; Zhong, Huanzi; Feng, Qiang; Sunagawa, Shinichi; Arumugam, Manimozhiyan; Kultima, Jens Roat; Prifti, Edi; Nielsen, Trine; Juncker, Agnieszka Sierakowska; Manichanh, Chaysavanh; Chen, Bing; Zhang, Wenwei; Levenez, Florence; Wang, Juan; Xu, Xun; Xiao, Liang; Liang, Suisha; Zhang, Dongya; Zhang, Zhaoxi; Chen, Weineng; Zhao, Hailong; Al-Aama, Jumana Yousuf; Edris, Sherif; Yang, Huanming; Wang, Jian; Hansen, Torben; Nielsen, Henrik Bjorn; Brunak, Soren; Kristiansen, Karsten; Guarner, Francisco; Pedersen, Oluf; Dore, Joel; Ehrlich, S. Dusko; Bork, Peer; Wang, Jun","MetaHIT Consortium","","","NATURE BIOTECHNOLOGY","AUG 2014","2014","32","8","","","","834","841","","10.1038/nbt.2942","","","231","46.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","53","84","90","0"
"Comparative genomics reveals insights into avian genome evolution and adaptation","Zhang, Guojie; Li, Cai; Li, Qiye; Li, Bo; Larkin, Denis M.; Lee, Chul; Storz, Jay F.; Antunes, Agostinho; Greenwold, Matthew J.; Meredith, Robert W.; Odeen, Anders; Cui, Jie; Zhou, Qi; Xu, Luohao; Pan, Hailin; Wang, Zongji; Jin, Lijun; Zhang, Pei; Hu, Haofu; Yang, Wei; Hu, Jiang; Xiao, Jin; Yang, Zhikai; Liu, Yang; Xie, Qiaolin; Yu, Hao; Lian, Jinmin; Wen, Ping; Zhang, Fang; Li, Hui; Zeng, Yongli; Xiong, Zijun; Liu, Shiping; Zhou, Long; Huang, Zhiyong; An, Na; Wang, Jie; Zheng, Qiumei; Xiong, Yingqi; Wang, Guangbiao; Wang, Bo; Wang, Jingjing; Fan, Yu; da Fonseca, Rute R.; Alfaro-Nunez, Alonzo; Schubert, Mikkel; Orlando, Ludovic; Mourier, Tobias; Howard, Jason T.; Ganapathy, Ganeshkumar; Pfenning, Andreas; Whitney, Osceola; Rivas, Miriam V.; Hara, Erina; Smith, Julia; Farre, Marta; Narayan, Jitendra; Slavov, Gancho; Romanov, Michael N.; Borges, Rui; Machado, Joao Paulo; Khan, Imran; Springer, Mark S.; Gatesy, John; Hoffmann, Federico G.; Opazo, Juan C.; Hastad, Olle; Sawyer, Roger H.; Kim, Heebal; Kim, Kyu-Won; Kim, Hyeon Jeong; Cho, Seoae; Li, Ning; Huang, Yinhua; Bruford, Michael W.; Zhan, Xiangjiang; Dixon, Andrew; Bertelsen, Mads F.; Derryberry, Elizabeth; Warren, Wesley; Wilson, Richard K.; Li, Shengbin; Ray, David A.; Green, Richard E.; O'Brien, Stephen J.; Griffin, Darren; Johnson, Warren E.; Haussler, David; Ryder, Oliver A.; Willerslev, Eske; Graves, Gary R.; Alstroem, Per; Fjeldsa, Jon; Mindell, David P.; Edwards, Scott V.; Braun, Edward L.; Rahbek, Carsten; Burt, David W.; Houde, Peter; Zhang, Yong; Yang, Huanming; Wang, Jian; Jarvis, Erich D.; Gilbert, M. Thomas P.; Wang, Jun","Avian Genome Consortium","","","SCIENCE","DEC 12 2014","2014","346","6215","","","","1311","1320","","10.1126/science.1251385","","","209","41.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","54","82","60","0"
"SOAPdenovo-Trans: de novo transcriptome assembly with short RNA-Seq reads","Xie, Yinlong; Wu, Gengxiong; Tang, Jingbo; Luo, Ruibang; Patterson, Jordan; Liu, Shanlin; Huang, Weihua; He, Guangzhu; Gu, Shengchang; Li, Shengkang; Zhou, Xin; Lam, Tak-Wah; Li, Yingrui; Xu, Xun; Wong, Gane Ka-Shu; Wang, Jun","","","","BIOINFORMATICS","JUN 15 2014","2014","30","12","","","","1660","1666","","10.1093/bioinformatics/btu077","10th Student Council Symposium of the International-Society-for-Computational-Biology (ISCB) held in conjunction with the 22nd Annual Meeting of Intelligent Systems for Molecular Biology (ISMB)","JUL 11, 2014","198","39.60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","50","67","72","0"
"Whole-genome sequence variation, population structure and demographic history of the Dutch population","Francioli, Laurent C.; Menelaou, Andronild; Pulit, Sara L.; Van Dijk, Freerk; Palamara, Pier Francesco; Elbers, Clara C.; Neerincx, Pieter B. T.; Ye, Kai; Guryev, Victor; Kloosterman, Wigard P.; Deelen, Patrick; Abdellaoui, Abdel; Van Leeuwen, Elisabeth M.; Van Oven, Mannis; Vermaat, Martijn; Li, Mingkun; Laros, Jeroen F. J.; Karssen, Lennart C.; Kanterakis, Alexandros; Amin, Najaf; Hottenga, Jouke Jan; Lameijer, Eric-Wubbo; Kattenberg, Mathijs; Dijkstra, Martijn; Byelas, Heorhiy; Van Settenl, Jessica; Van Schaik, Barbera D. C.; Bot, Jan; Nijman, Isaac J.; Renkens, Ivo; Marscha, Tobias; Schonhuth, Alexander; Hehir-Kwa, Jayne Y.; Handsaker, Robert E.; Polak, Paz; Sohail, Mashaal; Vuzman, Dana; Hormozdiari, Fereydoun; Van Enckevort, David; Mei, Hailiang; Koval, Vyacheslav; Moed, Ma-Tthijs H.; Van der Velde, K. Joeri; Rivadeneira, Fernando; Estrada, Karol; Medina-Gomez, Carolina; Isaacs, Aaron; McCarroll, Steven A.; Beekrnan, Marian; De Craen, Anton J. M.; Suchiman, H. Eka D.; Hofman, Albert; Oostra, Ben; Uitterlinden, Andre G.; Willemsen, Gonneke; Plattee, Mathieu; Veldink, Jan H.; Van den Berg, Leonard H.; Pitts, Steven J.; Potluri, Shobha; Sundar, Purnima; Cox, David R.; Sunyaev, Shamil R.; Den Dunnen, Johan T.; Stoneking, Mark; De Knijff, Peter; Kayser, Manfred; Li, Qibin; Li, Yingrui; Du, Yuanping; Chen, Ruoyan; Cao, Hongzhi; Li, Ning; Cao, Sujie; Wang, Jun; Bovenberg, Jasper A.; Peer, Itsik; Slagboom, P. Eline; Van Duijn, Cornelia M.; Boomsma, Dorret I.; Van Ommen, Gert-Jan B.; De Bakker, Paul I. W.; Swertz, Morris A.; Wijmenga, Cisca","Genome Netherlands Consortium; LifeLines Cohort Study","","","NATURE GENETICS","AUG 2014","2014","46","8","","","","818","825","","10.1038/ng.3021","","","196","39.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","64","66","60","1"
"Identification and assembly of genomes and genetic elements in complex metagenomic samples without using reference genomes","Nielsen, H. Bjorn; Almeida, Mathieu; Juncker, Agnieszka Sierakowska; Rasmussen, Simon; Li, Junhua; Sunagawa, Shinichi; Plichta, Damian R.; Gautier, Laurent; Pedersen, Anders G.; Le Chatelier, Emmanuelle; Pelletier, Eric; Bonde, Ida; Nielsen, Trine; Manichanh, Chaysavanh; Arumugam, Manimozhiyan; Batto, Jean-Michel; dos Santos, Marcelo B. Quintanilha; Blom, Nikolaj; Borruel, Natalia; Burgdorf, Kristoffer S.; Boumezbeur, Fouad; Casellas, Francesc; Dore, Joel; Dworzynski, Piotr; Guarner, Francisco; Hansen, Torben; Hildebrand, Falk; Kaas, Rolf S.; Kennedy, Sean; Kristiansen, Karsten; Kultima, Jens Roat; Leonard, Pierre; Levenez, Florence; Lund, Ole; Moumen, Bouziane; Le Paslier, Denis; Pons, Nicolas; Pedersen, Oluf; Prifti, Edi; Qin, Junjie; Raes, Jeroen; Sorensen, Soren; Tap, Julien; Tims, Sebastian; Ussery, David W.; Yamada, Takuji; Renault, Pierre; Sicheritz-Ponten, Thomas; Bork, Peer; Wang, Jun; Brunak, Soren; Ehrlich, S. Dusko","MetaHIT Consortium","","","NATURE BIOTECHNOLOGY","AUG 2014","2014","32","8","","","","822","828","","10.1038/nbt.2939","","","189","37.80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","50","73","61","0"
