OO=BGI*
Refined by: PUBLICATION YEARS=( 2016 )
Timespan=1900-2018. Indexes=SCI-EXPANDED, SSCI, A&HCI, CPCI-S, CPCI-SSH, BKCI-S, BKCI-SSH, ESCI, CCR-EXPANDED, IC.

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1900","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"The Atlantic salmon genome provides insights into rediploidization","Lien, Sigbjorn; Koop, Ben F.; Sandve, Simen R.; Miller, Jason R.; Kent, Matthew P.; Nome, Torfinn; Hvidsten, Torgeir R.; Leong, Jong S.; Minkley, David R.; Zimin, Aleksey; Grammes, Fabian; Grove, Harald; Gjuvsland, Arne; Walenz, Brian; Hermansen, Russell A.; von Schalburg, Kris; Rondeau, Eric B.; Di Genova, Alex; Samy, Jeevan K. A.; Vik, Jon Olav; Vigeland, Magnus D.; Caler, Lis; Grimholt, Unni; Jentoft, Sissel; Vage, Dag Inge; de Jong, Pieter; Moen, Thomas; Baranski, Matthew; Palti, Yniv; Smith, Douglas R.; Yorke, James A.; Nederbragt, Alexander J.; Tooming-Klunderud, Ave; Jakobsen, Kjetill S.; Jiang, Xuanting; Fan, Dingding; Liberles, David A.; Vidal, Rodrigo; Iturra, Patricia; Jones, Steven J. M.; Jonassen, Inge; Maass, Alejandro; Omholt, Stig W.; Davidson, William S.","","","","NATURE","MAY 12 2016","2016","533","7602","","","","200","+","","10.1038/nature17164","","","105","35.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","89","0"
"Human gut microbes impact host serum metabolome and insulin sensitivity","Pedersen, Helle Krogh; Gudmundsdottir, Valborg; Nielsen, Henrik Bjorn; Hyotylainen, Tuulia; Nielsen, Trine; Jensen, Benjamin A. H.; Forslund, Kristoffer; Hildebrand, Falk; Prifti, Edi; Falony, Gwen; Le Chatelier, Emmanuelle; Levenez, Florence; Dore, Joel; Mattila, Ismo; Plichta, Damian R.; Poho, Paivi; Hellgren, Lars I.; Arumugam, Manimozhiyan; Sunagawa, Shinichi; Vieira-Silva, Sara; Jorgensen, Torben; Holm, Jacob Bak; Trost, Kajetan; Kristiansen, Karsten; Brix, Susanne; Raes, Jeroen; Wang, Jun; Hansen, Torben; Bork, Peer; Brunak, Soren; Oresic, Matej; Ehrlich, S. Dusko; Pedersen, Oluf","MetaHIT Consortium","","","NATURE","JUL 21 2016","2016","535","7612","","","","376","+","","10.1038/nature18646","","","88","29.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","79","0"
"The genome sequences of Arachis duranensis and Arachis ipaensis, the diploid ancestors of cultivated peanut","Bertioli, David John; Cannon, Steven B.; Froenicke, Lutz; Huang, Guodong; Farmer, Andrew D.; Cannon, Ethalinda K. S.; Liu, Xin; Gao, Dongying; Clevenger, Josh; Dash, Sudhansu; Ren, Longhui; Moretzsohn, Marcio C.; Shirasawa, Kenta; Huang, Wei; Vidigal, Bruna; Abernathy, Brian; Chu, Ye; Niederhuth, Chad E.; Umale, Pooja; Araujo, Ana Claudia G.; Kozik, Alexander; Do Kim, Kyung; Burow, Mark D.; Varshney, Rajeev K.; Wang, Xingjun; Zhang, Xinyou; Barkley, Noelle; Guimaraes, Patricia M.; Isobe, Sachiko; Guo, Baozhu; Liao, Boshou; Stalker, H. Thomas; Schmitz, Robert J.; Scheffler, Brian E.; Leal-Bertioli, Soraya C. M.; Xun, Xu; Jackson, Scott A.; Michelmore, Richard; Ozias-Akins, Peggy","","","","NATURE GENETICS","APR 2016","2016","48","4","","","","438","+","","10.1038/ng.3517","","","72","24.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","50","1"
"Analysis of 589,306 genomes identifies individuals resilient to severe Mendelian childhood diseases","Chen, Rong; Shi, Lisong; Hakenberg, Joerg; Naughton, Brian; Sklar, Pamela; Zhang, Jianguo; Zhou, Hanlin; Tian, Lifeng; Prakash, Om; Lemire, Mathieu; Sleiman, Patrick; Cheng, Wei-yi; Chen, Wanting; Shah, Hardik; Shen, Yulan; Fromer, Menachem; Omberg, Larsson; Deardorff, Matthew A.; Zackai, Elaine; Bobe, Jason R.; Levin, Elissa; Hudson, Thomas J.; Groop, Leif; Wang, Jun; Hakonarson, Hakon; Wojcicki, Anne; Diaz, George A.; Edelmann, Lisa; Schadt, Eric E.; Friend, Stephen H.","","","","NATURE BIOTECHNOLOGY","MAY 2016","2016","34","5","","","","531","538","","10.1038/nbt.3514","","","61","20.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","40","1"
"Spectrum of Phenotypes Associated with Mutations in LRBA","Alkhairy, Omar K.; Abolhassani, Hassan; Rezaei, Nima; Fang, Mingyan; Andersen, Kasper Krogh; Chavoshzadeh, Zahra; Mohammadzadeh, Iraj; El-Rajab, Mariam A.; Massaad, Michel; Chou, Janet; Aghamohammadi, Asghar; Geha, Raif S.; Hammarstrom, Lennart","","","","JOURNAL OF CLINICAL IMMUNOLOGY","JAN 2016","2016","36","1","","","","33","45","","10.1007/s10875-015-0224-7","","","32","10.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","20","0"
"Structural genomic changes underlie alternative reproductive strategies in the ruff (Philomachus pugnax)","Lamichhaney, Sangeet; Fan, Guangyi; Widemo, Fredrik; Gunnarsson, Ulrika; Thalmann, Doreen Schwochow; Hoeppner, Marc P.; Kerje, Susanne; Gustafson, Ulla; Shi, Chengcheng; Zhang, He; Chen, Wenbin; Liang, Xinming; Huang, Leihuan; Wang, Jiahao; Liang, Enjing; Wu, Qiong; Lee, Simon Ming-Yuen; Xu, Xun; Hoglund, Jacob; Liu, Xin; Andersson, Leif","","","","NATURE GENETICS","JAN 2016","2016","48","1","","","","84","+","","10.1038/ng.3430","","","30","10.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","17","0"
"Metagenome-wide association studies: fine-mining the microbiome","Wang, Jun; Jia, Huijue","","","","NATURE REVIEWS MICROBIOLOGY","AUG 2016","2016","14","8","","","","508","522","","10.1038/nrmicro.2016.83","","","29","9.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","26","0"
"Redefining the structural motifs that determine RNA binding and RNA editing by pentatricopeptide repeat proteins in land plants","Cheng, Shifeng; Gutmann, Bernard; Zhong, Xiao; Ye, Yongtao; Fisher, Mark F.; Bai, Fengqi; Castleden, Ian; Song, Yue; Song, Bo; Huang, Jiaying; Liu, Xin; Xu, Xun; Lim, Boon L.; Bond, Charles S.; Yiu, Siu-Ming; Small, Ian","","","","PLANT JOURNAL","FEB 2016","2016","85","4","","","","532","547","","10.1111/tpj.13121","","","29","9.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","21","0"
"Occurrence, structure, and evolution of nitric oxide synthase-like proteins in the plant kingdom","Jeandroz, Sylvain; Wipf, Daniel; Stuehr, Dennis J.; Lamattina, Lorenzo; Melkonian, Michael; Tian, Zhijian; Zhu, Ying; Carpenter, Eric J.; Wong, Gane Ka-Shu; Wendehenne, David","","","","SCIENCE SIGNALING","MAR 1 2016","2016","9","417","","","","","","re2","10.1126/scisignal.aad4403","","","27","9.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","16","0"
"Genesis, Evolution and Prevalence of H5N6 Avian Influenza Viruses in China","Bi, Yuhai; Chen, Quanjiao; Wang, Qianli; Chen, Jianjun; Jin, Tao; Wong, Gary; Quan, Chuansong; Liu, Jun; Wu, Jun; Yin, Renfu; Zhao, Lihua; Li, Mingxin; Ding, Zhuang; Zou, Rongrong; Xu, Wen; Li, Hong; Wang, Huijun; Tian, Kegong; Fu, Guanghua; Huang, Yu; Shestopalov, Alexander; Li, Shoujun; Xu, Bing; Yu, Hongjie; Luo, Tingrong; Lu, Lin; Xu, Xun; Luo, Yang; Liu, Yingxia; Shi, Weifeng; Liu, Di; Gao, George Fu","","","","Cell Host & Microbe","DEC 14 2016","2016","20","6","","","","810","821","","10.1016/j.chom.2016.10.022","","","22","7.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0"
